index	width	height	dimension	offset	filename
0	480	222	480x222	0x009abd78	entry_0000_480x222_off_0x009abd78_bgr565_be.png
1	480	222	480x222	0x009dfdf8	entry_0001_480x222_off_0x009dfdf8_bgr565_be.png
2	480	222	480x222	0x00a13e78	entry_0002_480x222_off_0x00a13e78_bgr565_be.png
3	480	222	480x222	0x00a47ef8	entry_0003_480x222_off_0x00a47ef8_bgr565_be.png
4	480	222	480x222	0x00a7bf78	entry_0004_480x222_off_0x00a7bf78_bgr565_be.png
5	480	222	480x222	0x00aafff8	entry_0005_480x222_off_0x00aafff8_bgr565_be.png
6	480	222	480x222	0x00ae4078	entry_0006_480x222_off_0x00ae4078_bgr565_be.png
7	480	222	480x222	0x00b180f8	entry_0007_480x222_off_0x00b180f8_bgr565_be.png
8	480	222	480x222	0x00b4c178	entry_0008_480x222_off_0x00b4c178_bgr565_be.png
9	480	222	480x222	0x00b801f8	entry_0009_480x222_off_0x00b801f8_bgr565_be.png
10	480	222	480x222	0x00bb4278	entry_0010_480x222_off_0x00bb4278_bgr565_be.png
11	312	171	312x171	0x00be82f8	entry_0011_312x171_off_0x00be82f8_bgr565_be.png
12	318	174	318x174	0x00c023c8	entry_0012_318x174_off_0x00c023c8_bgr565_be.png
13	328	174	328x174	0x00c1d410	entry_0013_328x174_off_0x00c1d410_bgr565_be.png
14	325	181	325x181	0x00c391f0	entry_0014_325x181_off_0x00c391f0_bgr565_be.png
15	319	176	319x176	0x00c55d82	entry_0015_319x176_off_0x00c55d82_bgr565_be.png
16	311	176	311x176	0x00c71422	entry_0016_311x176_off_0x00c71422_bgr565_be.png
17	311	190	311x190	0x00c8bfc2	entry_0017_311x190_off_0x00c8bfc2_bgr565_be.png
18	313	178	313x178	0x00ca8d66	entry_0018_313x178_off_0x00ca8d66_bgr565_be.png
19	305	171	305x171	0x00cc40aa	entry_0019_305x171_off_0x00cc40aa_bgr565_be.png
20	315	174	315x174	0x00cdd820	entry_0020_315x174_off_0x00cdd820_bgr565_be.png
21	318	174	318x174	0x00cf8454	entry_0021_318x174_off_0x00cf8454_bgr565_be.png
22	319	168	319x168	0x00d1349c	entry_0022_319x168_off_0x00d1349c_bgr565_be.png
23	319	176	319x176	0x00d2d74c	entry_0023_319x176_off_0x00d2d74c_bgr565_be.png
24	312	165	312x165	0x00d48dec	entry_0024_312x165_off_0x00d48dec_bgr565_be.png
25	408	166	408x166	0x00d6201c	entry_0025_408x166_off_0x00d6201c_bgr565_be.png
26	368	161	368x161	0x00d8313c	entry_0026_368x161_off_0x00d8313c_bgr565_be.png
27	343	165	343x165	0x00da001c	entry_0027_343x165_off_0x00da001c_bgr565_be.png
28	294	156	294x156	0x00dbba42	entry_0028_294x156_off_0x00dbba42_bgr565_be.png
29	309	150	309x150	0x00dd2092	entry_0029_309x150_off_0x00dd2092_bgr565_be.png
